
2024/03/13 (20:09:28) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (20:09:28) | INFO: Running on /dev/pts/3
2024/03/13 (20:09:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (20:09:28) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (20:09:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (20:09:28) | DEBUG: Shared::init() : Initialized.
2024/03/13 (20:09:28) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:09:53) | INFO: Quitting! Runtime: 00:00:25

2024/03/13 (22:54:10) | ===> btop++ v.1.3.2
2024/03/13 (22:54:10) | INFO: Logger set to DEBUG
2024/03/13 (22:54:10) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (22:54:10) | INFO: Running on /dev/pts/0
2024/03/13 (22:54:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (22:54:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (22:54:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (22:54:10) | DEBUG: Shared::init() : Initialized.
2024/03/13 (22:54:10) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (23:05:23) | INFO: Quitting! Runtime: 00:11:13

2024/03/13 (23:07:00) | ===> btop++ v.1.3.2
2024/03/13 (23:07:00) | INFO: Logger set to DEBUG
2024/03/13 (23:07:00) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (23:07:00) | INFO: Running on /dev/pts/1
2024/03/13 (23:07:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (23:07:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (23:07:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (23:07:00) | DEBUG: Shared::init() : Initialized.
2024/03/13 (23:07:00) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (23:07:57) | DEBUG: Writing new config file
2024/03/13 (23:07:57) | INFO: Quitting! Runtime: 00:00:57

2024/03/13 (16:54:17) | ===> btop++ v.1.3.2
2024/03/13 (16:54:17) | INFO: Logger set to DEBUG
2024/03/13 (16:54:17) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (16:54:17) | INFO: Running on /dev/pts/0
2024/03/13 (16:54:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (16:54:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (16:54:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (16:54:17) | DEBUG: Shared::init() : Initialized.
2024/03/13 (16:54:17) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (16:57:37) | INFO: Quitting! Runtime: 00:03:20

2024/03/13 (17:21:25) | ===> btop++ v.1.3.2
2024/03/13 (17:21:25) | INFO: Logger set to DEBUG
2024/03/13 (17:21:25) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (17:21:25) | INFO: Running on /dev/pts/0
2024/03/13 (17:21:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (17:21:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (17:21:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (17:21:25) | DEBUG: Shared::init() : Initialized.
2024/03/13 (17:21:25) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (17:21:28) | INFO: Quitting! Runtime: 00:00:03

2024/03/13 (19:17:01) | ===> btop++ v.1.3.2
2024/03/13 (19:17:01) | INFO: Logger set to DEBUG
2024/03/13 (19:17:01) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (19:17:01) | INFO: Running on /dev/pts/1
2024/03/13 (19:17:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (19:17:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (19:17:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (19:17:01) | DEBUG: Shared::init() : Initialized.
2024/03/13 (19:17:01) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (19:17:21) | INFO: Quitting! Runtime: 00:00:20

2024/03/13 (21:56:35) | ===> btop++ v.1.3.2
2024/03/13 (21:56:35) | INFO: Logger set to DEBUG
2024/03/13 (21:56:35) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (21:56:35) | INFO: Running on /dev/pts/1
2024/03/13 (21:56:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (21:56:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (21:56:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (21:56:35) | DEBUG: Shared::init() : Initialized.
2024/03/13 (21:56:35) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (21:56:43) | INFO: Quitting! Runtime: 00:00:08

2024/03/13 (22:40:37) | ===> btop++ v.1.3.2
2024/03/13 (22:40:37) | INFO: Logger set to DEBUG
2024/03/13 (22:40:37) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (22:40:37) | INFO: Running on /dev/pts/1
2024/03/13 (22:40:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (22:40:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (22:40:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (22:40:37) | DEBUG: Shared::init() : Initialized.
2024/03/13 (22:40:37) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme

2024/03/14 (22:11:37) | ===> btop++ v.1.3.2
2024/03/14 (22:11:37) | INFO: Logger set to DEBUG
2024/03/14 (22:11:37) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/14 (22:11:37) | INFO: Running on /dev/pts/2
2024/03/14 (22:11:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/14 (22:11:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (22:11:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/14 (22:11:37) | DEBUG: Shared::init() : Initialized.
2024/03/14 (22:11:37) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/14 (22:11:44) | INFO: Quitting! Runtime: 00:00:07

2024/03/15 (04:51:13) | ===> btop++ v.1.3.2
2024/03/15 (04:51:13) | INFO: Logger set to DEBUG
2024/03/15 (04:51:13) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/15 (04:51:13) | INFO: Running on /dev/pts/3
2024/03/15 (04:51:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/15 (04:51:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/15 (04:51:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/15 (04:51:13) | DEBUG: Shared::init() : Initialized.
2024/03/15 (04:51:13) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/15 (05:20:17) | INFO: Quitting! Runtime: 00:29:04

2024/03/15 (05:51:01) | ===> btop++ v.1.3.2
2024/03/15 (05:51:01) | INFO: Logger set to DEBUG
2024/03/15 (05:51:01) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/15 (05:51:01) | INFO: Running on /dev/pts/1
2024/03/15 (05:51:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/15 (05:51:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/15 (05:51:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/15 (05:51:01) | DEBUG: Shared::init() : Initialized.
2024/03/15 (05:51:01) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/15 (06:01:14) | INFO: Quitting! Runtime: 00:10:13

